CellId, SiteId, PCI, EARFCN, PlanFlag
LF31A01A,LF31A01-F38400,49,38400,0
LF31A01B,LF31A01-F38400,48,38400,0
LF31A01C,LF31A01-F38400,50,38400,0
LF31A02A,LF31A02-F38400,54,38400,0
LF31A02B,LF31A02-F38400,55,38400,0
LF31A02C,LF31A02-F38400,56,38400,0
LD31A03A,LD31A03-F37900,63,37900,0
LD31A03B,LD31A03-F37900,64,37900,0
LD31A03C,LD31A03-F37900,65,37900,0
LF31A03A,LF31A03-F38400,376,38400,0
LF31A03B,LF31A03-F38400,375,38400,0
LF31A03C,LF31A03-F38400,377,38400,0
LF31A05A,LF31A05-F38400,85,38400,0
LF31A05B,LF31A05-F38400,86,38400,0
LF31A05C,LF31A05-F38400,84,38400,0
LF31A06A,LF31A06-F38400,95,38400,0
LF31A06B,LF31A06-F38400,94,38400,0
LF31A06C,LF31A06-F38400,93,38400,0
LF31A07A,LF31A07-F38400,298,38400,0
LF31A07B,LF31A07-F38400,297,38400,0
LF31A07C,LF31A07-F38400,299,38400,0
LD31A08A,LD31A08-F37900,303,37900,0
LD31A08B,LD31A08-F37900,304,37900,0
LD31A08C,LD31A08-F37900,305,37900,0
LF31A08A,LF31A08-F38400,77,38400,0
LF31A08B,LF31A08-F38400,75,38400,0
LF31A08C,LF31A08-F38400,76,38400,0
LF31A09A,LF31A09-F38400,122,38400,0
LF31A09B,LF31A09-F38400,120,38400,0
LF31A09C,LF31A09-F38400,121,38400,0
LD31A10A,LD31A10-F37900,315,37900,0
LD31A10B,LD31A10-F37900,316,37900,0
LD31A10C,LD31A10-F37900,317,37900,0
LF31A10A,LF31A10-F38400,333,38400,0
LF31A10B,LF31A10-F38400,335,38400,0
LF31A10C,LF31A10-F38400,334,38400,0
LF31A11A,LF31A11-F38400,123,38400,0
LF31A11B,LF31A11-F38400,124,38400,0
LF31A11C,LF31A11-F38400,125,38400,0
LF31A12A,LF31A12-F38400,453,38400,0
LF31A12B,LF31A12-F38400,455,38400,0
LF31A12C,LF31A12-F38400,454,38400,0
LF31A13A,LF31A13-F38400,273,38400,0
LF31A13B,LF31A13-F38400,274,38400,0
LF31A13C,LF31A13-F38400,275,38400,0
LD31A14A,LD31A14-F37900,468,37900,0
LD31A14B,LD31A14-F37900,469,37900,0
LD31A14C,LD31A14-F37900,470,37900,0
LF31A14A,LF31A14-F38355,63,38355,0
LF31A14B,LF31A14-F38355,64,38355,0
LF31A14C,LF31A14-F38400,65,38400,0
LD31A16A,LD31A16-F37900,438,37900,0
LD31A16B,LD31A16-F37900,439,37900,0
